School Name,School Type,Youth Attendees,Address,Year,full_address,latitude,longitude
Wacker Elementary,Elementary,35,"9746 S Morgan St, Chicago, IL 60643",2024-11-15T00:00:00Z,"9746 S Morgan St, Chicago, IL 60643 Chicago, IL",41.716309991533,-87.648389966995
Suder Montessori Magnet,Elementary,75,"2022 W Washington Blvd, Chicago IL 60612",2024-11-18T00:00:00Z,"2022 W Washington Blvd, Chicago IL 60612 Chicago, IL",41.883439692614,-87.677957549541
Sawyer Elementary,Elementary,310,"5248 S Sawyer Ave, Chicago, IL, 60632",2024-12-03T00:00:00Z,"5248 S Sawyer Ave, Chicago, IL, 60632 Chicago, IL",41.797580170351,-87.705261347678
Crane HS,High School,67,"2245 W Jackson Blvd, Chicago, IL, 60612",2024-12-16T00:00:00Z,"2245 W Jackson Blvd, Chicago, IL, 60612 Chicago, IL",41.876876830066,-87.683242339493
Eberhart Elementary,Elementary,338,"3400 West 65th Place Chicago, IL 60629",2025-01-08T00:00:00Z,"3400 West 65th Place Chicago, IL 60629 Chicago, IL",41.77474971012,-87.708583431183
Perspectives Leadership Academy,High School,40,"8522 S Lafayette Ave, Chicago, IL 60620",2025-01-21T00:00:00Z,"8522 S Lafayette Ave, Chicago, IL 60620 Chicago, IL",41.739027254162004,-87.626595845272
Tilden High School,High School,100,"4747 S Union Ave, Chicago IL, 60609",2025-01-22T00:00:00Z,"4747 S Union Ave, Chicago IL, 60609 Chicago, IL",41.807520604603,-87.642101108861
Pickard,Elementary,80," 2301 W 21st Pl, Chicago, IL 60608",2025-01-22T00:00:00Z," 2301 W 21st Pl, Chicago, IL 60608 Chicago, IL",41.852791473201,-87.683522043602
Henderson,Elementary,45,"5650 S Wolcott Ave, Chicago, IL 60636",2025-01-24T00:00:00Z,"5650 S Wolcott Ave, Chicago, IL 60636 Chicago, IL",41.790782279238,-87.672365143743
Perspectives Leadership Academy,High School,40,"8522 S Lafayette Ave, Chicago, IL 60620",2025-01-27T00:00:00Z,"8522 S Lafayette Ave, Chicago, IL 60620 Chicago, IL",41.739027254162004,-87.626595845272
Cameron Elementary,Elementary,65,"1234 N Monticello Ave Chicago, IL 60651",2025-01-28T00:00:00Z,"1234 N Monticello Ave Chicago, IL 60651 Chicago, IL",41.904070028991,-87.718022962901
Nicholson,Elementary,120," 6006 S Peoria St, Chicago, IL 60621",2025-01-29T00:00:00Z," 6006 S Peoria St, Chicago, IL 60621 Chicago, IL",41.78464090069,-87.647624196321
Laura Ward STEM,Elementary,80,"646 N Lawndale Ave, Chicago, IL, 60624",2025-01-29T00:00:00Z,"646 N Lawndale Ave, Chicago, IL, 60624 Chicago, IL",41.893240735816,-87.718974811825
Curie HS,High School,600,"4959 S Archer Ave  Chicago, IL 60632",2025-02-04T00:00:00Z,"4959 S Archer Ave  Chicago, IL 60632 Chicago, IL",41.802004557942,-87.722571067383
Lionel Performing Arts,Elementary,125,"3434 W 77th St, Chicago, IL 60652",2025-02-06T00:00:00Z,"3434 W 77th St, Chicago, IL 60652 Chicago, IL",41.753803040718,-87.708545042066
John Hay,Elementary,60,"1018 N Laramie Ave, Chicago, IL 60651",2025-02-07T00:00:00Z,"1018 N Laramie Ave, Chicago, IL 60651 Chicago, IL",41.899300684174,-87.756063727548
Grissom Elementary,Elementary,90,"12810 S Escanaba Ave Chicago, IL 60633",2025-02-18T00:00:00Z,"12810 S Escanaba Ave Chicago, IL 60633 Chicago, IL",41.662131842068,-87.553571950436
Rufino Tamayo Elementary,Elementary,100,"5135 S California Ave, Chicago, IL, 60632",2025-02-19T00:00:00Z,"5135 S California Ave, Chicago, IL, 60632 Chicago, IL",41.799954051059,-87.69362039291
Lawndale Community Academy,Elementary,19,"3500 W Douglas Blvd. Chicago IL, 60623",2025-03-03T00:00:00Z,"3500 W Douglas Blvd. Chicago IL, 60623 Chicago, IL",41.863316084195,-87.713239075482
Harlan High School,High School,20," 9652 S Michigan Ave, Chicago, IL 60628",2025-03-04T00:00:00Z," 9652 S Michigan Ave, Chicago, IL 60628 Chicago, IL",41.718350062947,-87.621238635677
Cook Academy,Elementary,60,"8150 S Bishop St, Chicago, IL 60620",2025-03-05T00:00:00Z,"8150 S Bishop St, Chicago, IL 60620 Chicago, IL",41.745192898319,-87.660172575926
Julian High School,High School,19,"10330 S Elizabeth St, Chicago, IL 60643",2025-03-06T00:00:00Z,"10330 S Elizabeth St, Chicago, IL 60643 Chicago, IL",41.705352580969,-87.654662061322
Sauganash Elementary,Elementary,100,"6040 N Kilpatrick Ave, Chicago, IL 60646",2025-03-20T00:00:00Z,"6040 N Kilpatrick Ave, Chicago, IL 60646 Chicago, IL",41.991452417332,-87.746214153127
Hurley Elementary,Elementary,180,"3849 W 69th Pl, Chicago, IL 60629",2025-04-02T00:00:00Z,"3849 W 69th Pl, Chicago, IL 60629 Chicago, IL",41.766551580171,-87.719282762948
Douglas Taylor Elementary,Elementary,105,"9912 S Avenue H, Chicago IL 60617",2025-04-09T00:00:00Z,"9912 S Avenue H, Chicago IL 60617 Chicago, IL",41.715340205336,-87.533307609862
Irving Elementary,Elementary,91,"749 S Oakley Blvd, Chicago, IL, 60612",2025-04-09T00:00:00Z,"749 S Oakley Blvd, Chicago, IL, 60612 Chicago, IL",41.871668944076,-87.682893484683
Acero Donald Marquez,Elementary,180,"2916 W 47th St, Chicago, IL 60632",2025-04-15T00:00:00Z,"2916 W 47th St, Chicago, IL 60632 Chicago, IL",41.808570605614,-87.697191838034
Beidler Elementary,Elementary,77,"3151 W Walnut St, Chicago, IL 60612",2025-04-16T00:00:00Z,"3151 W Walnut St, Chicago, IL 60612 Chicago, IL",41.885131034947,-87.705316835877
Talcott Elementary,Elementary,160,"1840 W Ohio St, Chicago IL 60622",2025-04-17T00:00:00Z,"1840 W Ohio St, Chicago IL 60622 Chicago, IL",41.892598221028,-87.673958292079
Mather High School,High School,94,"5835 N Lincoln Ave, Chicago IL 60659",2025-04-21T00:00:00Z,"5835 N Lincoln Ave, Chicago IL 60659 Chicago, IL",41.988182427356,-87.700602266798
Englewood STEM High School,High School,302,"6835 S Normal Blvd, Chicago IL 60621",2025-04-22T00:00:00Z,"6835 S Normal Blvd, Chicago IL 60621 Chicago, IL",41.770167030287,-87.636219359765
Christopher Elementary School,Elementary,75,"5042 S Artesian Ave, Chicago IL 60632",2025-04-23T00:00:00Z,"5042 S Artesian Ave, Chicago IL 60632 Chicago, IL",41.801765925159,-87.686070225987
Englewood STEM High School,Elementary,250,"6835 S Normal Blvd, Chicago IL 60621",2025-04-24T00:00:00Z,"6835 S Normal Blvd, Chicago IL 60621 Chicago, IL",41.770167030287,-87.636219359765
Mather High School,High School,110,"5835 N Lincoln Ave, Chicago IL 60659",2025-05-05T00:00:00Z,"5835 N Lincoln Ave, Chicago IL 60659 Chicago, IL",41.988182427356,-87.700602266798
Multicultural Arts School,High School,280,"3120 S Kostner ave Chicago, IL 60623",2025-05-09T00:00:00Z,"3120 S Kostner ave Chicago, IL 60623 Chicago, IL",41.83516722258,-87.735566286247
Haugan Elementary,Elementary,293,"4540 N Hamlin Avenue Chicago, IL 60625",2025-05-16T00:00:00Z,"4540 N Hamlin Avenue Chicago, IL 60625 Chicago, IL",41.963725039719,-87.723663983738
Pritzker School,Elementary,200,"2009 W Schiller St, Chicago, IL, 60622",2025-05-27T00:00:00Z,"2009 W Schiller St, Chicago, IL, 60622 Chicago, IL",41.90688789911,-87.677785636707
Social Justice High School,High School,200,"3120 S Kostner ave Chicago, IL 60623",2025-05-28T00:00:00Z,"3120 S Kostner ave Chicago, IL 60623 Chicago, IL",41.83516722258,-87.735566286247
Haugan Elementary,Elementary,60,"4540 N Hamlin Ave, Chicago, IL 60625",2025-09-12T00:00:00Z,"4540 N Hamlin Ave, Chicago, IL 60625 Chicago, IL",41.963725039719,-87.723663983738
Chavez Multicultural Academic Center,Middle,74,"4831 S. Hermitage Ave, Chicago, IL 60609",2025-10-01T00:00:00Z,"4831 S. Hermitage Ave, Chicago, IL 60609 Chicago, IL",41.80586999832,-87.668239990095
George Washington High School,High School,150,"3535 E. 114th St, Chicago IL, 60617",2025-10-02T00:00:00Z,"3535 E. 114th St, Chicago IL, 60617 Chicago, IL",41.687165820825,-87.538186212787
Zapata Elementary,Elementary,180,"2728 S Kostner Ave Chicago, IL 60623",2025-10-03T00:00:00Z,"2728 S Kostner Ave Chicago, IL 60623 Chicago, IL",41.841759086513,-87.735179126139
Haugan Elementary,Elementary,150,"4540 N. Hamlin Ave, Chicago, IL 60625",2025-10-03T00:00:00Z,"4540 N. Hamlin Ave, Chicago, IL 60625 Chicago, IL",41.963725039719,-87.723663983738
