school_name_std,address,city,zip,county,FedCong,included_in_program,registered,n_incidents,had_incident,n_disp_return,perc_disp_return
lincoln prairie elem school,500 Harvest Gate,Lake In The Hills,60156 4802,Kane,09,1,NA,0,0,NA,NA
lincoln prairie school,500 Hillcrest Blvd,Hoffman Estates,60169 4122,Cook,08,1,1,3,1,3,1
lincoln school,200 W Maple Ave,Mundelein,60060 1785,Lake,10,1,1,0,0,NA,NA
lincoln school,700 Mary St,Peoria,61603 3432,Peoria,17,1,1,3,1,3,1
lincoln school alop,960 Royce Ave,Joliet,60432 1277,N/A,NA,0,NA,0,0,NA,NA
lincoln school rssp,960 Royce Ave,Joliet,60432 1277,N/A,NA,0,NA,0,0,NA,NA
lincoln school taoep,960 Royce Ave,Joliet,60432 1277,N/A,NA,0,NA,0,0,NA,NA
lincoln trail elem school,102 E State St,Mahomet,61853,Champaign,15,1,1,7,1,5,0.714285714285714
lincoln way west,21701 S Gougar Rd,New Lenox,60451 1576,Will,01,1,1,0,0,NA,NA
lincoln douglas elementary school,3211 Payson Rd,Quincy,62305 6441,Adams,15,1,1,2,1,0,0
lincoln douglas elementary school,1700 W Laurel St,Freeport,61032 3511,Stephenson,17,1,1,0,0,NA,NA
lincoln irving elem school,1015 16th Ave,Moline,61265 3811,Rock Island,17,1,NA,0,0,NA,NA
lincoln way central high school,1801 E Lincoln Hwy,New Lenox,60451 3801,Will,01,1,1,0,0,NA,NA
lincoln way east high school,201 Colorado Ave,Frankfort,60423 1333,Will,01,1,1,0,0,NA,NA
lincolnland reg del system,1000 Railer Way,Lincoln,62656 3180,Logan,NA,0,NA,0,0,NA,NA
lincolnland technical ed ctr,1000 Railer Way,Lincoln,62656,Logan,NA,0,NA,0,0,NA,NA
lincolnwood elem school,2600 Colfax St,Evanston,60201 2107,Cook,09,1,NA,0,0,NA,NA
lincolnwood high school,507 N Prairie St,Raymond,62560 4906,Montgomery,15,1,NA,0,0,NA,NA
lincolnwood jr high school,507 N Prairie St,Raymond,62560 4906,Montgomery,15,1,NA,0,0,NA,NA
lindblom math and science acad hs,6130 S Wolcott Ave,Chicago,60636 2100,Cook,07,1,1,2,1,1,0.5
lindop elem school,2400 S 18th Ave,Broadview,60155 3930,Cook,07,1,1,36,1,35,0.972222222222222
lindsay school,3600 Fielding Dr,Springfield,62711 6288,Sangamon,15,1,NA,0,0,NA,NA
linne elem school,3221 N Sacramento Ave,Chicago,60618 5825,Cook,03,1,1,1,1,1,1
lions park elem school,300 E Council Trl,Mt Prospect,60056 3930,Cook,05,1,NA,0,0,NA,NA
